Company Name,ISIN,LEI,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Organization Type,BA1.5,BA1.5 Date,Location,Region,Sector,Date,Target,Target Classification,Extension
3M,US88579Y1010,LUZQVYP4VS22CLWDAR65,Committed,,,,,,No,,Company,No,,United States of America (USA),North America,Chemicals,01/11/2023,,,
3P Innovation Ltd,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Construction and Engineering,01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 3P Innovation Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
4most,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Professional Services,01/06/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 4most commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
7R S.A.,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Poland,Europe,Real Estate,01/10/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 7R S.A. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"80 Acres Urban Agriculture, Inc",,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United States of America (USA),North America,Food Production - Agricultural Production,01/01/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ 80 Acres Urban Agriculture, Inc commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A&L Goodbody,,,Committed,,,,,,No,,Company,No,,Ireland,Europe,Professional Services,01/10/2021,,,
A-Insinöörit Oy,,743700WWG9QFS8KQ7R79,Committed,,,,,,No,,Company,No,,Finland,Europe,Construction and Engineering,01/06/2022,,,
A-Star Alliance,,,Committed,,,,,,No,,Company,No,,India,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/09/2023,,,
A. Espersen A/S,,549300I9OR0MMWWMBB61,Targets Set,1.5°C,2030,,,,No,,Company,No,,Denmark,Europe,Food Production - Animal Source Food Production,01/11/2023,"Espersen commits to reduce absolute scope 1 and 2 GHG emissions 42% by
2030 from a 2021 base year. Espersen also commits to reduce scope 3 GHG
emissions from purchased goods and services, fuel and energy related activities,
upstream transportation and distribution, and waste generated in operations 52%
per tonne of sold fish product within the same timeframe.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A. HATZOPOULOS S.A.,,,Committed,,,,,,Yes,,Company,No,,Greece,Europe,Containers and Packaging,01/03/2024,,,
A.F:E. -Associazione Frutticoltori Estense SOC: COOP. AGRICOLA,,,Committed,,,,,,No,,Company,No,,Italy,Europe,Food and Staples Retailing,01/09/2023,,,
A.G. Barr plc,GB00B6XZKY75,213800QWTXXXF8BNEC87,Targets Set,1.5°C,FY2030,Targets Set,1.5°C,FY2050,Yes,FY2050,Company,Yes,01/02/2022,United Kingdom (UK),Europe,Food and Beverage Processing,01/08/2022,"Overall Net-Zero Target
A.G. Barr plc commits to reach net-zero greenhouse gas emissions across the value chain by FY2050 from a FY2020 base year.
Near-Term Targets
A.G. Barr commits to reduce absolute scope 1 and 2 GHG emissions 60% by FY2030 from a FY2020 base year. A.G. Barr also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, upstream transport and distribution and downstream transport and distribution 25% within the same timeframe.
Long-Term Targets
A.G. Barr plc commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2035 from  a FY2020 base year. A.G. Barr plc also commits to reduce scope 3 GHG emissions from  purchased goods and services, upstream transport and distribution and downstream transport  and distribution 90% by FY2050 from a FY2020 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A.L. Hoogesteger Fresh Specialist,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Netherlands,Europe,Food and Beverage Processing,01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ A.L. Hoogesteger Fresh Specialist commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A.P. Moller - Maersk A/S,DK0010244425,254900BLYIXBFFRLUJ90,Targets Set,1.5°C,2030,Targets Set,1.5°C,2040,Yes,2040,Company,Yes,01/05/2021,Denmark,Europe,Water Transportation - Water Transportation,01/02/2024,"Overall Net-Zero Target
A.P. Moller Maersk commits to reach net-zero greenhouse gas emissions across the value
chain by 2040 from a 2022 base year.

Near-Term Targets
A.P. Moller-Maersk commits to reduce absolute scope 1 GHG emissions 34.7% by 2030 from a 2022 base year.* A.P. Moller Maersk also commits to reduce absolute scope 3 GHG emissions 21.9% within the same timeframe. Within these targets, A.P. Moller- Maersk commits to reduce absolute well-to-wake scope 1 and 3 GHG emissions from container shipping operations 34.7% by 2030 from a 2022 base year. A.P. Moller- Maersk also commits to reduce absolute scope 1 GHG emissions from all other sources 42% within the same timeframe. A.P. Moller-Maersk further commits to reduce absolute well-to-wake scope 3 GHG emissions from subcontracted container shipping operations 16.7% within the same timeframe. Furthermore, A.P. Moller- Maersk commits to reduce absolute scope 3 GHG emissions from use of sold products covering distributed fossil fuels 42% within the same timeframe. A.P. Moller- Maersk finally commits to reduce remaining absolute scope 3 GHG emissions from fuel and energy related activities and upstream transportation and distribution 25% within the same timeframe. A. P. Moller-Maersk also commits to increase annual sourcing of renewable electricity from 22.7% in 2022 to 100% by 2030.
* The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks

Long-Term Targets
AP. Moller-Maersk commits to reduce absolute scope 1 and 2 GHG emissions 96% by 2040.* A.P. Moller-Maersk also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe. Within these targets, A.P. Moller- Maersk commits to reduce absolute well-to-wake scope 1 and 3 GHG emissions from container shipping operations 96.2% by 2040 from a 2022 base year. A.P. Moller- Maersk also commits to reduce absolute scope 1 and scope 2 GHG emissions from all other sources 90% within the same timeframe. A.P. Moller- Maersk further commits to reduce absolute well-to-wake scope 1 and 3 GHG emissions from subcontracted container shipping operations 97.1% within the same timeframe. Furthermore, A.P. Moller-Maersk commits to reduce remaining absolute scope 3 GHG emissions 90% within the same timeframe.
* The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,Automatic extension based on Protocol to Manage Expired Commitments
A.P.C. (Atelier de Production et de Création),,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,France,Europe,"Textiles, Apparel, Footwear and Luxury Goods",01/06/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ A.P.C. (Atelier de Production et de Création) commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A/S Vestfrost,,549300N63MEJFY9FIZ04,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,Yes,01/07/2022,Denmark,Europe,"Consumer Durables, Household and Personal Products",01/07/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ A/S Vestfrost commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.  A/S Vestfrost commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A1 Telekom Austria Group,AT0000720008,529900KCNFQU5OJH7L33,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/04/2023,Austria,Europe,Telecommunication Services,01/09/2020,"A1 Telekom Austria Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year*. A1 Telekom Austria Group commits to reduce scope 3 GHG emissions covering purchased goods and services, capital goods and fuel- and energy-related activities as well as business travel 50% by 2030 from a 2019 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A2 Healthcare Corporation,,,Committed,,,,,,No,,,No,,Japan,Asia,Professional Services,01/12/2023,,,
A2A S.p.A.,IT0001233417,81560076E3944316DB24,Targets Set,2°C,"2030, 2024, 2030",,,,No,,Company,No,,Italy,Europe,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",01/03/2020,Italian multi-utility company A2A S.p.A commits to reduce scope 1 GHG emissions 46% per kWh by 2030 from a 2017 base year. A2A commits to reduce absolute scope 2 GHG emissions 100% by 2024 from a 2017 base year. A2A also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and use of sold products 20% by 2030 from a 2017 base year*. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C.,
A2G S.A.C B.I.C,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Peru,Latin America,Professional Services,01/06/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ A2G S.A.C B.I.C commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
A3&Co. LLC,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,No,,United Arab Emirates (UAE),Asia,Professional Services,01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ A3&Co. LLC commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions. A3&Co. LLC commits to reach net-zero by 2050. As part of this, A3&Co. LLC commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2022 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AAF LA PROVIDENCE,,,Committed,,,,,,Yes,,Company,No,,France,Europe,Professional Services,01/10/2023,,,
Aage Vestergaard Larsen A/S,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Solid Waste Management Utilities,01/06/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Aage Vestergaard Larsen A/S commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AAK AB,SE0001493776,549300GK4LGIDDWJWL07,Targets Set,1.5°C,2030,,,,No,,Company,Yes,01/11/2020,Sweden,Europe,Food and Beverage Processing,01/01/2024,"FLAG Targets 
AAK commits to reduce absolute scope 3 FLAG GHG emissions 33.3% by 2030 from a 2019 base year.* AAK commits to no deforestation across its primary deforestation-linked commodities with a target date of 2025. 
*Target includes FLAG emissions and removals. 
Near-Term Targets 
AAK commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year.* AAK also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, and upstream transportation and distribution 46.2% within the same timeframe. AAK further commits that 10.3% of its suppliers by emissions, covering purchased goods and services, and transportation and distribution, will have science-based targets by 2027. 
*The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,Commitment Compliance Policy transitory grace period. Targets to be submitted by July 31 2023.
Aakel Technologies Inc.,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Japan,Asia,Software and Services,01/07/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Aakel Technologies Inc. commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Aardvark Certification Ltd,,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,Professional Services,01/07/2020,"Aardvark Certification Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Aarti Industries,INE769A01020,335800JBE5SD89NH8831,Committed,,,,,,No,,Company,No,,India,Asia,Chemicals,01/01/2023,,,
Aarti Pharmalabs Limited,INE0LRU01027,335800TTAKRBNDK5P363,Committed,,,,,,Yes,,Company,No,,India,Asia,"Pharmaceuticals, Biotechnology and Life",01/02/2024,,,
Aasted ApS,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Electrical Equipment and Machinery,01/03/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Aasted ApS commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AB Anders Löfberg,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Sweden,Europe,Food and Beverage Processing,01/05/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ AB Anders Löfberg commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AB Grigeo,LT0000102030,529900YXT3CDTZGS0R43,Committed,,,,,,No,,Company,No,,Lithuania,Europe,"Forest and paper products - Forestry, Timber, Pulp and Paper, Rubber",01/01/2024,,,
AB InBev,BE0974293251,5493008H3828EMEXB082,Targets Set,1.5°C,2025,,,,Yes,,Company,Yes,01/11/2022,Belgium,Europe,Food and Beverage Processing,01/03/2018,"Global Brewer AB InBev commits to reduce absolute scopes 1 and 2 GHG emissions 35% by 2025 from a 2017 base year. AB InBev commits to increase annual sourcing of renewable electricity from 7% in 2016 to 100% by 2025. AB InBev also commits to reduce emissions across the value chain (Scopes 1, 2 and 3) by 25% per beverage by 2025, from a 2017 base year. These commitments reinforce AB InBev's commitment towards mitigating the impacts of climate change.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C.,
AB Pictura,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Sweden,Europe,"Consumer Durables, Household and Personal Products",01/02/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ AB Pictura commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AB Sagax,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Sweden,Europe,Real Estate,01/05/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ AB Sagax commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AB SKF,SE0000108227,549300B6HWYEE57O8J84,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Company,Yes,01/07/2021,Sweden,Europe,Electrical Equipment and Machinery,01/03/2023,"Overall Net-Zero Target
AB SKF commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2019 base year.
Near-Term Targets
AB SKF commits to reduce absolute scope 1 and scope 2 GHG emissions 95% by 2030 from a 2019 base year.* AB SKF also commits to reduce absolute scope 3 emissions from purchased goods and services, upstream transportation and distribution, and use of sold products 31% within the same timeframe.
Long-Term Targets
AB SKF commits to maintain at least 95% absolute reduction of scope 1 and 2 GHG emissions from 2030 through 2050, relative to a 2019 base year.* AB SKF also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel- and energy-related activities, upstream transportation and distribution, and use of sold products 90% by 2050 from a 2019 base year. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
AB Tingstad Papper,.,,Committed,,,,,,No,,Company,No,,Sweden,Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",01/03/2023,,,
AB Transport Group,,,Committed,,,,,,Yes,,Company,No,,Netherlands,Europe,Ground Transportation - Trucking Transportation,01/11/2023,,,
AB Volvo,,549300HGV012CNC8JD22,Targets Set,1.5°C,"2030, 2034",,,,Yes,,Company,Yes,01/11/2020,Sweden,Europe,Electrical Equipment and Machinery,01/06/2021,Volvo Group commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year. Volvo Group commits to reduce absolute scope 3 GHG emissions from use of sold construction equipment 30% by 2030 and from use of sold industrial & marine engines 37.5% by 2034 from a 2019 base year. Volvo Group also commits to reduce scope 3 GHG emissions from use of sold heavy duty trucks 40% per vehicle km by 2030 and from buses 40% per vehicle km by 2030 from a 2019 base year.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,Commitment extended - Automakers pathway
AB World Foods,,,Committed,,,,,,No,,Company,No,,United Kingdom (UK),Europe,Food and Beverage Processing,01/09/2023,,,
ABA Chemicals Corporation,,,Committed,,,,,,No,,Company,No,,China,Asia,Chemicals,01/11/2023,,,
ABAX INDUSTRIES,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,France,Europe,Chemicals,01/08/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ ABAX INDUSTRIES commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
ABB,CH0012221716,5493000LKVGOO9PELI61,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/05/2021,Switzerland,Europe,Electrical Equipment and Machinery,01/06/2021,ABB commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2030 from a 2019 base year.ABB also commits to reduce absolute scope 3 GHG emissions 15% over the same timeframe.**The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
ABB E-mobility Holding AG,,254900W4TLPHBSJ4PM11,Committed,,,,,,Yes,,Company,No,,Switzerland,Europe,Technology Hardware and Equipment,01/01/2024,,,
Abbott,US0028241000,HQD377W2YR662HK5JX27,Targets Set,Well-below 2°C,2030,,,,No,,Company,No,,United States of America (USA),North America,Healthcare Equipment and Supplies,01/09/2022,Abbott commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year.* Abbott also commits that 82% of its suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets by 2026. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
AbbVie,US00287Y1091,FR5LCKFTG8054YNNRU85,Targets Set,1.5°C,2030,,,,No,,Company,Yes,01/06/2021,United States of America (USA),North America,"Pharmaceuticals, Biotechnology and Life",01/04/2023,"AbbVie commits to reduce absolute scope 1 and 2 GHG emissions 42.0% by 2030 from a 2021 base year*. AbbVie also commits to increase active sourcing of renewable electricity from 29.5% in 2021 to 100.0% by 2030. AbbVie further commits that 79.1% of its suppliers by emissions covering purchased goods and services, capital goods, and upstream transportation and distribution, will have science-based targets by 2027. * The target boundary includes land-related emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Abdi Ibrahim Pharmaceuticals,,,Targets Set,1.5°C,2030,,,,Yes,,Company,No,,Turkey,Asia,"Pharmaceuticals, Biotechnology and Life",01/06/2022,Abdi İbrahim commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2020 base year. Abdi İbrahim also commits to reduce absolute scope 3 GHG emissions 45% within the same timeframe,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"ABE SHOTEN CO.,LTD.",,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Japan,Asia,Electrical Equipment and Machinery,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ ABE SHOTEN CO.,LTD. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Abel & Cole Ltd.,,213800YESNPSQEYUQR35,Targets Set,1.5°C,2030,,,,No,,Company,No,,United Kingdom (UK),Europe,Retailing,01/09/2022,Abel & Cole commits to reduce absolute scopes 1 and 2 GHG emissions 42%% by 2030 from a 2020 base year. Abel & Cole also commits to reduce scope 3 GHG emissions 53.5% per tonne of sold product within the same timeframe.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
